"IDIngredienteReceta";"IDReceta";"IDIngrediente";"Cantidad";"IDUnidad";"Observación"
741;89;199;100,00;3;"Molidas"
742;89;1;1,00;5;
743;89;128;2,00;2;
744;89;200;100,00;3;
745;90;190;200,00;3;"Rallado o picado"
746;90;18;150,00;3;
747;90;10;8,00;7;
748;90;128;1,00;12;"O Brandy"
749;90;11;150,00;3;"A temperatura ambiente"
750;90;56;1,00;1;
751;90;1;1,00;5;
753;91;201;20,00;7;"Rellenas"
754;91;133;1,00;6;"En conserva, en rodajas finas"
755;91;25;1,00;10;"Pelado finamente"
756;91;99;1,00;7;"Mediana picada finamente"
757;91;28;0,50;7;"Exprimido"
758;91;4;1,00;2;
759;91;107;2,00;2;"Picado fino"
760;91;1;1,00;11;
761;91;109;1,00;11;
762;92;202;1,50;4;
763;92;70;3,00;7;"Exprimidas"
764;92;1;1,00;11;
765;92;109;1,00;11;
766;92;171;70,00;3;"Sin semillas"
767;92;94;1,75;6;"Seco"
768;92;7;1,00;2;
769;93;110;1,25;4;"Medianas"
770;93;11;60,00;3;
771;93;35;250,00;3;"Agria mezclada con 2 cdas. De leche"
772;93;1;0,50;2;
773;93;29;50,00;3;
774;93;21;250,00;9;
775;94;203;4,00;7;"De grosor fino"
776;94;107;0,50;6;"Picado fino"
777;94;204;0,25;6;"Picado fino"
778;94;25;3,00;10;"Picado fino"
779;94;151;0,25;6;"Las hojas, picado fino"
781;94;2;6,00;29;
782;94;5;0,25;1;
783;94;117;1,00;2;
784;94;4;4,00;2;
785;95;110;0,50;4;"Peladas"
786;95;7;1,00;2;
787;95;11;50,00;3;
788;95;108;1,00;1;
789;95;1;1,00;11;
790;96;202;4,00;18;"Ahumado de 1 cm de grosor"
791;96;43;1,00;1;
793;96;205;0,50;6;"Caliente"
794;96;11;20,00;3;
795;96;11;1,00;28;"Para guarnición"
796;96;43;1,00;5;"Para guarnición"
798;96;207;1,00;7;"Para guarnición"
799;96;208;2,00;6;"Para guarnición"
800;97;18;150,00;3;
801;97;12;7,00;2;
802;98;209;6,00;7;
803;98;108;1,00;2;
804;98;4;0,50;6;
805;98;1;1,00;11;
806;98;109;1,00;11;
807;99;27;750,00;3;"O cuadril"
808;99;211;250,00;3;"Magra"
809;99;210;125,00;3;"Magra"
810;99;115;1,00;7;"Picado fino"
811;99;169;1,00;7;"Picada fino"
812;99;10;1,00;7;"Ligeramente batido"
813;99;113;2,00;2;
814;99;3;0,75;15;
815;99;1;1,00;11;
816;99;67;1,00;11;
817;99;109;1,00;11;
818;100;44;1,25;6;
819;100;4;1,00;2;
820;100;11;1,00;2;
821;100;99;1,00;7;"Mediana, finamente picada"
822;100;42;0,50;6;"Dulce"
823;100;71;2,00;1;
824;100;70;0,50;6;"Exprimida"
825;100;179;1,50;6;
826;101;154;0,50;7;"Cortado en tiritas finas"
828;101;212;2,00;1;
829;101;213;1,00;1;
830;101;117;1,00;2;"Rebajada en agua"
831;101;79;1,00;1;
832;102;151;1,00;7;"El corazón y las ramas tiernas"
833;102;70;1,00;7;"Pelada sin piel blanca"
835;102;214;250,00;3;"En conserva"
836;102;123;2,00;2;
837;102;54;4,00;2;
838;102;21;1,00;2;
840;102;215;4,00;2;
841;102;4;1,00;2;
842;102;1;1,00;11;
843;102;109;1,00;11;
844;103;121;4,00;6;"Las hojas"
845;103;89;1,00;6;
847;103;216;100,00;3;
848;103;125;0,50;6;
849;103;35;0,25;3;
850;103;4;4,00;2;
851;103;25;1,00;10;
852;103;1;1,00;11;
