"IDReceta";"Receta";"Preparacion";"Porciones";"IDCategoria";"IDCocina";"IDComplejidad";"Sugerencia";"IDRendimiento"
25;"Crema Cítrica";"Con el pelapapas o un cuchillo retire sólo la cáscara, sin llegar a la parte blanca, a las naranjas y el limón. Luego corte las cáscaras en juliana fina (tiritas).

En una olla coloque agua hasta la mitad, agregue las cáscaras y lleve a fuego fuerte, para que hiervan durante 5 min. Entonces, escúrralas con la espumadera o el colador, deseche el líquido del blanqueo, coloque nuevamente las cascáras en la ollita, agregue agua hasta cubrirlas solamente y edulcorante a gusto. Lleve nuevamente a fuego fuerte para que hierva 5 min. más, retire de la hornalla, cuele y reserve.
 
Mientras tanto, termine de pelar una naranja y con cuidado sepárela en gajos, retirando también el hollejo. Luego exprima el resto de las naranjas y el limón, mezcle los jugos, en un bol, y endulce a gusto. En una ollita coloque 1/2 taza de jugo y la gelatina, lleve a fuego lento y revuelva hasta que esté perfectamente fundida, sin grumos, tarda unos 3 a 5 min. Cuando esté, agréguela, revolviendo para que se integre al resto del jugo de frutas. Deje que empiece a coagular llevandola a refrigerar por 15 min..
 
Luego, bata el yogur y añádalo a la gelatina revolviendo bien para que se integre. Después en un bol bata la clara, con una pizca de sal, a punto nieve firme y con movimientos envolventes, para que no se baje, incorpórela a la gelatina.
 
En las copas distribuya los gajitos de naranja, seguidamente la crema y luego, bordeando, las cascaritas. En el medio, coloque las ramitas de menta. Lleve a la heladera, por lo menos 3 h. o al freezer por 1 h., si decide el método de enfriamiento rápido, decore las copas cuando retira del freezer.";6,00;11;9;3;"Puede completar la decoración con dos gajitos de naranja sin hollejo.";2
26;"Creme Brûlée";"En la ollita vierta la leche y la chaucha de vainilla y deje que hierva, a fuego medio, tarda unos 5 min.. Apague la llama, tape y deje reposar, para que la leche se aromatice durante 10 min.
 
Encienda el horno a temperatura baja, ponga agua en la fuente hasta 1/3 de su capacidad, para preparar el baño maría y colóquela en el horno.
 
En el bol, eche las yemas y el azúcar, bata a potencia máxima hasta que la preparación se espese y tenga un color amarillo claro. Entonces, batiendo siempre agregue la leche colándola sobre la mezcla y luego la crema.
 
Con el cucharón, distribuya la preparación en los moldecitos y colóquelos en el baño maría. Cocine durante unos 40 min. o hasta que estén firmes. Retire del horno y deje enfriar a temperatura ambiente, unos 15 min.
 
Antes de servir distribuya el azúcar moreno en la superficie, caliente la plancha, al rojo vivo, y márquelos. Si no tiene plancha para marcar, precaliente, bien, el horno o la parrilla y coloque los moldes. Deje reposar unos 3 min., antes de servir, para que el caramelo se vuelva crocante.";4,00;11;3;3;"Esta es la receta original de la Creme Brûlée y se puede preparar con anticipación y guardarse refrigerada, antes de marcarla debe estar a temperatura ambiente.";2
27;"Creme Brûlée II";"Encienda el horno a temperatura baja, para precalentarlo. En la ollita, caliente a crema, a fuego medio/alto y retire.
 
Luego, en el bol,bata las yemas con el azúcar hasta que estén de color amarrillo claro y cremosas. Entonces añada un poco de crema y mezcle bien, con la espátula. 

Finalmente, agregue, poco a poco, mezclando bien, el resto de la crema y la esencia. Vierta la preparación en la fuente y llene de agua el recipiente hasta un tercio de su capacidad.
 
Coloque la fuente dentro del recipiente y lleve al horno por unos 50 min. o hasta que la preparación haya cuajado. Retire, deje enfriar, espolvoree con azúcar moreno y queme con el hierro caliente.";6,00;11;3;2;"Puede cocerla en recipientes individuales o servirla acompañada de Frutas Flambeadas con Helado para convertir la misma recetas en porciones para 10 personas.";2
28;"Pan Lactal Express";" 1- Encienda el horno a temperatura media, para precalentarlo, el bol coloque la harina en forma de corona, espolvoreéla con la sal y el azúcar y, en el centro, vierta la leche, la esencia y coloque la manteca.
 2- Después, con la cuchara, vaya echando la harina al centro, mientras la mezcla con los otros ingredientes, hasta tener una pasta. Entonces, colóquela en la bolsa de plástico y, rápidamente, sobre una superficie, amásela unos 3 min. hasta tener un bollo liso.
 3- Unte con manteca el fondo y las paredes del molde, coloque el bollo y lleve a hornear por unos 30 min. o hasta que esté dorado, entonces, retire, desmolde y deje enfriar.";1,00;7;9;2;"Puede utilizarlo para hacer sandwiches, tostadas o acompañar las comidas.";3
29;"Pan de Ajo";" 1- Coloque la harina, en el bol, formando una corona, en el centro desmenuce la levadura y añada la sal, el ajo, el orégano, el aceite de oliva y el agua. Con la cuchara de madera, vaya echando harina hacia el centro, para mezclarla con los otros ingredientes, hasta tener una pasta.	 
 2- Entonces, amase sobre la mesada, espolvoreada con harina, hasta tener un bollo elástico y liso. Cubra con la bolsa de plástico y deje reposar, en lugar templado hasta que duplique su volumen, más o menos 1 h. 	 
 3- Mientras tanto, unte con aceite la placa y, cuando falten 30 min. de leudado,encienda el horno a temperatura alta, para precalentarlo. Cuando la masa esté lista, con las manos extiéndala sobre la placa, cubriéndola hasta los bordes y hornee hasta que esté levemente dorada, más o menos 10 min. Retire, deje entibiar y sirva.";1,00;7;9;3;" Puede espolvorear con queso parmesano, rallado, antes de hornearlo.";3
30;"Grisines";"1- Coloque todos los ingredientes, a excepción del harina, en el bol, y mézclelos muy bien. Luego, añada paulatinamente la harina, la cantidad necesaria para tener una masa no muy blanda.
 2- Espolvoree una superficie con harina y amase, enérgicamente, el bollo durante unos 10 min. Luego, aceite el bol, coloque el bollo, cúbralo con papel film.
 3- Deje levar 1 1/2 h. o hasta que haya duplicado su volumen, cuando esté por cumplirse ese tiempo encienda el horno a temperatura media, para precalentarlo.
 4- Entonces, coloque nuevamente sobre una superficie enharinada y golpee el bollo con los nudillos, unos 4 a 5 min., para desgasificarlo.
 5- Luego, divídalo en porciones, si desea que los grisines sean finitos, hágalas del tamaño de una nuez grande. Si los quiere más gruesos o largos corte porciones más grandes.
 6- Estírelas, amasando, para formar cilíndros largos, si los desea anchos el grosor debe quedar 1 cm., para hacerlos finos calcule unos 5 mm.
 7- Distribuya en las placas, baje la temperatura a media/baja y hornee unos 25 a 30 min. o hasta que se hayan dorado, levemente, parejo y estén sequitos.";15,00;7;9;2;;2
31;"Pan de Albahaca";"1. Coloque la harina, sobre la mesada, formando una corona y, en el bol, desmenuce la levadura, vierta el agua tibia y deje disolver, hasta que forme espuma, entonces, viértala en el centro de la harina. 
2. Luego, añada 3 cucharadas de aceite, la albahaca picada, la sal y, poco a poco, las 5 cucharadas de agua, mientras echa harina hacia el centro, para mezclarla con los otros ingredientes, hasta tener una pasta.
3. Entonces, amase vigorosamente durante 10 min. hasta obtener una masa elástica, cubra con el paño y deje reposar 30 min. en un lugar tibio.
 4. Pasado ese tiempo, sobre la mesada espolvoreada con un poco de harina, amásela nuevamente por otros 10 min. 
5. Luego, espolvoree con harina la mesada y el palo de amasar y estire la masa hasta que tenga unos 7 a 8 mm. de espesor. Unte la placa con un poco de aceite y coloque la masa dentro.
6. Después, pinte la superficie con el aceite restante y deje reposar nuevamente, en un lugar cálido, otros 30 min. Cuando falten 15 min. para que se haya cumplido el tiempo de leudado, encienda el horno a temperatura media/alta, para precalentarlo.
7. Hornee el pan unos 20 a 30 min. o hasta que esté dorado. Entonces, retire y sirva tibio o a temperatura ambiente.";1,00;7;8;2;"Puede reemplazar la albahaca por cualquier otra hierba fresca, por ej. orégano o tomillo";3
32;"Tiramisú";"En el bol mediano bata las yemas con el azúcar, a potencia máxima unos 5 min. o hasta que estén cremosas y de color blancuzco.  
Después incorpore, con movimientos envolventes, de abajo hacia arriba para que la preparación no se baje, el queso y la crema. Reserve.  
En el otro bol, mezcle el licor con el café y pase las vainillas para remojarlas. A medida que las va retirando forre con la mitad el fondo de la fuente.  
Encima, vierta la mitad de la crema y esparza parejo. Forme otro piso de vainillas y cubra con el resto de la crema.  
Espolvoree con el cacao o el chocolate rallado y lleve a refrigerar, como mínimo 3 h. antes de retirar. Debe reposar, a temperatura ambiente, por lo menos 20 min. para que no esté demasiado frío y se tape el sabor.";8,00;11;8;3;;2
33;"Mozzarella en Carroza";"Corte la muzzarella en 4 rodajas y póngalas sobre 4 rebanadas de pan tostado. Después, cubra con las otras rebanadas, apretándolas ligeramente.
 
Coloque la harina un el plato hondo y enharine los emparedados de ambos lados. Luego, en el otro plato hondo vierta un poco de agua fría y pase rápidamente los bordes, sin que se humedezcan demasiado, para que la mozzarella no se salga durante la cocción.
 
Deseche el agua y en el mismo plato bata el huevo salpimentándolo a gusto. Vierta el aceite en la sartén y lleve a calentar a fuego medio/alto.
 
Mientras tanto, pase los emparedados por el huevo batido, rebozándolos bien y dorarlos en la sartén, de ambos lados. Retire, escurra sobre papel absorbente y sirva.";4,00;10;8;2;"quiere utilizar como entrada puede acompañar con Mesclum o Ensalada Criolla o Ensalada de Rúcula y Tomates Secos.";2
34;"Galletas de Manteca Marroquíes";"En el bol grande bata la manteca, hasta que se vuelva blanca y cremosa, de 5 a 7 min.. Agregue el azúcar y siga batiendo hasta que adquiera una textura muy fina y cremosa.
 
Después, incorpore la harina y la fruta seca picada, revolviendo con una a cuchara para que se mezcle todo y se forme una masa de consistencia ligera. Si la masa no tiene suficiente consistencia, añada un poco más de harina o llévela unos 30 min. a enfriar hasta que esté firme.
 
Encienda el horno a fuego bajo, para precalentarlo. Enmanteque y enharine la placa para horno.
 
Con las manos espolvoreadas con harina, forme bolas del tamaño de una nuez. Dispóngalas en la bandeja separadas entre ellas por unos 2,5 cm.y, presionando con los dedos, decore cada una con unos trocitos de nuez.
 
Hornéelas entre 20 a 30 min., hasta que estén cocidas, pero no permita que se tuesten; deben quedar de un color crema. Déjelas enfriar en una rejilla.";30,00;14;21;3;"Se conservan por largo tiempo guardadas en un recipiente herméticamente cerrado.";3
35;"Sambayón";"Vierta 5 cm. de agua en la olla y lleve a fuego fuerte para que hierva.
 
Mientras tanto en el bol vierta las yemas, el vino y el azúcar y bata a potencia máxima hasta que la preparación esté bien integrada y cremosa.	 
 
Lleve el bol a baño maría, cuidando que el fondo no toque el agua, en caso contrario deseche un poco de líquido. Bata la crema hasta que esté liviana, pálida y aterciopelada.
 
Está lista cuando toma consistencia espesa, esto se comprueba apoyando el dorso de una cuchara que cuando se retire debe quedar cubierto, en unos 10 min.. La crema no debe estar muy caliente.
 
Distribuya en las copas y sirva.
 
Se lleva a enfriar por 1 h. antes de servir o si desea puede hacer helado, frizandolo durante igual tiempo, luego lo retira, lo bate y lo lleva nuevamente a congelar por 1 h.
 
En caso de contar con heladora siga las instrucciones del fabricante.";4,00;11;8;3;"Si desea puede enfriarlo, a temperatura ambiente, batiéndolo de vez en cuando y luego le agrega 400 g. de crema de leche batido con 3 cucharadas de azúcar impalpable";2
36;"Crema Moka para Pastelería";"Coloque en el bol la manteca y el azúcar, mezcle rápidamente con la cuchara de madera, hasta obtener una crema homogénea.
 
Entonces, siempre mezclando incorpore las yemas una a una, luego, la esencia y el café. Siga batiendo hasta tener una preparación homogénea. LLeve a refrigerar 1 h., antes de utilizar.";450,00;11;9;2;"Es un excelente relleno, pero también sirve como cobertura o para decorar con manga. Pruebe con el Bizcochuelo de Chocolate o Bizcochuelo Pastelero.";9
37;"Ensalada de Rúcula y Tomates Secos";"Vierta el vino y el vinagre en el bol y añada los tomates, deje remojar unos 30 min. o hasta que se hidraten. Mientras tanto, acomode la rúcula formando un colchón en la fuente, con los extremos hacia afuera.
 
Con el pelapapas, corte tiras de queso, como si fueran virutas. Luego, corte tajadas finas de pechuga, coloque encima de la rúcula y rocíe con el queso.
 
Después, retire los tomates, sin desechar el líquido, y píquelos. Vuelva a colocarlos en la mezcla, añada el aceite, la sal y la pimienta y vierta sobre la ensalada.";6,00;13;9;2;"Conviene preparar la ensalada y el aderezo con anticipación y mantenerla refrigerada, sin aderezarla, por lo menos 1 h. antes de servir";2
38;"Ensalada Criolla";"Corte las hojas de lechuga con la mano en trozos medianos. También, corte también en rodajas finas los pepinos, los rabanitos, las cebollas, las aceitunas y los tomates córtelos en gajos.
 
Mezcle todo en la ensaladera y aderece con limón, aceite y sal. En la fuente que va a servirla coloque hojas grandes de lechuga, en el centro la ensalada y alrededor gajos de limón.";4,00;13;6;2;"Los mejores tipos de lechuga para esta ensalada son: la iceberg o repollada y la mantecosa.";2
39;"Salsa Blanca (Bechamel)";"Coloque en la olla la manteca, llévela al fuego medio, y cuando se haya derretido, agréguele la harina. Deje cocer la harina, cuidando que no se dore, revolviendo, continuamente, con la cuchara de madera.
 
Luego, baje el fuego a lento e incorpore paulatinamente la leche, mezclando continuamente con la cuchara de madera, para que se vaya ligando, hasta lograr una crema fina. Es conveniente mezclar bien, moviendo la cuchara en forma de ochos, porque la harina tiende a hacerse grumos en el fondo de la olla.
 
Una vez que haya integrado toda la leche, agregue sal, pimienta y nuez moscada y deje hervir a fuego lento, siempre revolviendo, unos 5 min.
 
Si la va utilizar, horas más tarde o al día siguiente, póngale encima del recipiente donde la guarde, un poco de manteca derretida, cubriéndola y, cuando la utilice, revuélvala en una olla sobre el fuego bajo.
 
Recuerde que, nunca debe variar la proporción entre la manteca y la harina, siempre deben ser iguales.";600,00;9;3;3;"Según el empleo que le de a la salsa, hágala más o menos consistente. Si desea una salsa espesa, disminuya la cantidad de leche, o déjela más tiempo al";9
40;"Pasta Casera";"Coloque la harina en la mesa o mesada en forma de volcán o corona y en el centro se eche todos los otros ingredientes. Comience a amasar con sus manos, al principio resultará una pasta muy blanda, a medida que se va trabajando adquiere consistencia, hasta incluso costar esfuerzo amasarla.
 
Luego, de un buen rato de amasado, adquirirá consistencia elástica, haga una bola que se cubre con un paño limpio para que repose de 1/2 a 1 h..
 
Transcurrido este tiempo, espolvoree la mesa y el palo de amasar con harina, y extienda la masa. Conviene estirarla dos o tres veces seguidas hasta conseguir una lámina uniforme de un par de milímetros de espesor.
 
A esta gran lámina u hoja de pasta los italianos acostumbran a «ponerla a secar». Es decir la colocan sobre un palo colocado entre dos sillas o en una estructura similar. Pasados unos 10 min. ya se puede doblar y cortar más fácilmente.
 
Doble la lámina se dobla por la mitad y de nuevo por la mitad. Con el cuchillo, muy bien afilado, corte en tiras cuyo tamaño será de acuerdo al tipo de pasta que desee hacer. Luego, separe y desdoble.";6,00;17;8;2;"Los fettuccíni tienen 6 mm.de ancho. Los tallarines, unos 2 mm.. La lasaña son cuadrados de 8 a 10 mm., al igual que los canelones. En cuanto a la finura de la pasta, las viejas amas de cassa italianas aconsejan hacerla tan sutil que a través de la lámina se puedan leer los titulares de un periódico.";2
41;"Pasta fresca al huevo";"En la mesa donde va a trabajar, o dentro de un bol grande, coloque la harina en forma de volcán o corona, en el centro coloque los otros ingredientes, y de a poco, vaya incorporándolos amasando con las manos. Al principio, quedará una pasta blanda pero a medida que la trabaje, va adquiriendo consistencia, hasta que cuesta, un poco, amasarla.
 
Después de un buen tiempo de amasado, unos 10 a 15 min., adquirirá una consistencia elástica. Haga con ella una bola y cúbrala con un paño limpio, déjela reposar de 30 min. a una hora.
 
Pasado ese tiempo, espolvorée la mesada o superficie donde va a trabajar con harina y, con el palo de amasar, enharinado, extienda la masa, espolvoréandola con harina de vez, en cuando para que no se pegue. Conviene extenderla 2 o 3 veces hasta obtener una masa de unos 2 0 3 mm. de espesor.
 
Cuando esta lámina u hoja de pasta está del grosor adecuado es preferible hacer lo que los italianos llaman ""ponerla a secar"", es decir colocarla sobre un palo, puede ser de escoba, sostenido por dos sillas o sobre una estructura similar. Pasados unos 7 a 10 min., se la puede doblar y cortar más fácilmente 
 
Para cortar las pastas, la lámina espolvorea con un poco de harina, se dobla por la mitad, se la espolvorea y dobla nuevamente.Con un cuchillo muy afilado se corta en tiras, del grosor deseado, al separarlas y desdoblarlas, se verán las tiras de pasta.";6,00;17;8;4;"Los fettuccini tienen 6 mm. de ancho, los tallarines unos 2. La lasagna son cuadrados de 8 a 10 cm. de ancho. En cuanto al grosor de la pasta, las viejas amas de casa italianas aconsejan hacerla tan fina que a través de ella se puedan leer los titulares del diario.";2
42;"Masa para pizza a la piedra II";"En un bol grande desmenuzar la levadura. Agregarle el azúcar y el aceite y revolver con cuchara de madera hasta que se vuelva una mezcla líquida.
Agregar de a poco la harina y la salmuera, trabajando la masa primero con la cuchara y luego con las manos. Debe quedar mas bien dura, consistente y suave. Separar en 5 bollitos, trabajarlos un poco, enharinarlos y ponerlos por separado en bolsitas de plástico, llevarlos a la heladera. Dejar por lo menos 3 horas y preferentemente de un día para el otro. Un par de horas antes de estirar la masa retirarla de la heladera. Estirar la masa sobre la pala previamente enharinada y agregarle la salsa de tomates y la cubierta deseada. Con el horno previamente precalentado, introducir sobre la piedra.";5,00;7;9;2;"Para hacer pre-pizzas cocinar la masa con un poco de salsa de tomate por unos 5 minutos. Se puede congelar";3
43;"Cerezas Jubilee";"lave muy bien la naranja y quítele una tira muy fina de piel.
Abra el frasco de cerezas y vierta el contenido en una cacerola pequeña. Agréguele la tira de cáscara de naranja, el Grand-Marnier y el Whisky.
Lleve al fuego, cuando rompa el hervor agréguele la fécula de maíz (diluida en un poco de agua). Mezcle sobre el fuego hasta que se espese.
Rocíe las cerezas con el Ron previamente calentado con el cucharón.
Encienda un fósforo, acérquelo a las cerezas y enciéndalas.
Sirva una o dos bochas de helado por plato y una porción de cerezas calientes.
Adorne con hojitas de menta.";6,00;11;3;4;;2
44;"Bailey's";"Disolver el café instantáneo con el agua caliente.
Colocar todos los ingredientes en un bol grande y mezclar despacio (mejor con la batidora) durante unos cinco minutos. Colocar en botella de vidrio y guardar en heladera.";0,75;23;16;2;"Rinde aproximadamente 1 botella de 750 cc.";5
45;"Manteca Maitre D'hotel";"Pique finamente el perejil.
Exprima el limón.
Mezcle la manteca pomada con el perejil, la sal, la pimienta, el pimentón y el jugo de limón hasta obtener una pasta homogénea.
Sobre un rectángulo de papel de aluminio disponga una porción de la manteca, envuelva formando un cilindro.
Reserve en la heladera.";500,00;9;3;2;"Ideal para servir sobre medallones de lomo grillados.";9
46;"Papas Darphin";"Pele las papas y corte a pelo.
Clarifique la manteca.
En un recipiente mezcle las papas con la manteca y la sal.
En una sartén enmantecada caliente, disponga un aro moldeador y en el centro un porción de papas.
Presione con la ayuda de una cuchara y cocine de a un lado hasta que dore, desmolde y termine la cocción en el horno.";2,00;13;9;3;;2
47;"Focaccia al fromaggio de di Recco";"En un bol mezcle la harina con la sal, el aceite y agua poco a poco hasta formar un bollo de masa compacta y elástica.
Cubra la masa con papel film y dje reposar durante una hora.
Corte el queso en trozos y reserve.
Separe la masa en dos bollos y estírelos hasta obtener un disco casi transparente.
Disponga uno de los discos en un molde de borde bajo previamente aceitado.
Distribuya trozos de queso en la masa dejando espacio entre ellos.
Tape con el otro disco, selle los bordes, recorte los excedentes de masa y realice cortes en la superficie.
Cocine en horno caliente (280º/300º) durante unos minutos.
Rocíe con aceite de oliva y corte en porciones.";6,00;10;8;4;"Sirva en una fuente y acompañe con ensalada de hojas verdes.";2
